Model,Test,Few(n),n,Prompt,r,bleu,sari,fkgl,pbert_ref,rbert_ref,F1_bert_ref,pbert_src,rbert_src,F1_bert_src,ppl_mean,ppl_std,LENS,LENS_std,intra_dist1,intra_dist2,inter_dist1,inter_dist2,c_ratio,splits,lev_sim,copies,adds,deletes,lex_complexity
t5-small-lm-adapt,asset-test,asset-valid,3,p0,1,9.22,33.3,6.37,-1.81,22.43,8.86,-3.87,13.39,4.54,70.53,94.09,13.64,15.05,67.77,83.2,24.98,65.83,3.2,4.22,0.37,0.0,0.81,0.24,8.51
t5-base-lm-adapt,asset-test,asset-valid,3,p0,1,12.18,34.65,6.57,4.8,33.11,17.29,3.64,25.84,14.34,193.77,2781.79,13.55,12.97,61.35,75.9,23.65,60.49,3.41,4.44,0.38,0.01,0.79,0.19,8.53
t5-large-lm-adapt,asset-test,asset-valid,3,p0,1,25.66,31.36,6.8,16.67,71.62,41.42,17.69,70.82,42.58,40.48,58.34,18.34,16.82,65.65,79.02,26.56,64.06,3.49,4.53,0.48,0.06,0.65,0.05,8.55
t5-xl-lm-adapt,asset-test,asset-valid,3,p0,1,31.18,29.94,6.87,29.95,78.67,51.91,32.33,79.47,54.38,52.47,64.66,27.13,22.5,70.83,83.76,27.96,67.26,2.99,3.8,0.58,0.16,0.54,0.04,8.58
llama-13b,asset-test,asset-valid,3,p0,1,69.83,40.71,6.97,78.16,75.99,75.89,76.92,66.4,71.53,123.29,224.1,62.43,16.54,91.49,98.64,38.89,83.89,0.83,1.16,0.77,0.1,0.15,0.3,8.5
t5-xxl-lm-adapt,asset-test,asset-valid,3,p0,1,28.41,33.39,6.99,24.61,76.98,48.21,25.69,75.39,49.0,47.57,52.03,24.94,20.18,69.37,84.28,27.38,67.75,3.28,4.2,0.52,0.08,0.6,0.05,8.6
opt-iml-max-30b,asset-test,asset-valid,3,p0,1,79.51,40.29,7.13,83.22,78.87,79.7,83.06,69.01,75.86,130.03,285.57,64.06,15.41,93.11,99.31,40.91,86.08,0.8,1.09,0.8,0.12,0.09,0.28,8.5
llama-7b,asset-test,asset-valid,3,p0,1,67.9,39.95,7.16,76.88,75.56,75.06,76.44,66.37,71.29,111.17,192.1,61.81,16.31,91.62,98.95,38.93,84.33,0.86,1.16,0.77,0.07,0.16,0.3,8.51
llama-30b,asset-test,asset-valid,3,p0,1,73.59,39.15,7.22,79.75,80.32,78.93,80.36,73.67,76.91,106.41,137.23,62.42,15.47,90.68,98.52,37.82,82.64,0.9,1.19,0.81,0.15,0.14,0.23,8.49
ul2,asset-test,asset-valid,3,p0,1,23.27,35.24,7.29,11.87,66.88,36.83,12.22,65.15,37.25,43.71,27.18,14.85,10.93,63.42,82.2,26.09,66.86,3.91,4.74,0.41,0.0,0.73,0.04,8.61
flan-t5-large,asset-test,asset-valid,3,p0,1,81.12,39.12,7.34,84.22,77.89,79.95,82.95,67.41,74.99,149.12,299.92,63.66,15.73,93.08,98.98,42.24,87.73,0.76,1.08,0.79,0.13,0.08,0.3,8.53
bloom,asset-test,asset-valid,3,p0,1,66.99,39.62,7.45,76.8,77.2,75.91,76.76,69.67,73.14,114.08,201.56,59.94,16.75,90.88,98.75,38.87,84.23,0.92,1.22,0.77,0.02,0.17,0.26,8.52
opt-6.7b,asset-test,asset-valid,3,p0,1,68.23,38.37,7.55,77.04,75.88,75.32,78.01,68.5,73.14,106.48,129.9,59.84,16.28,91.09,98.6,38.66,84.12,0.88,1.15,0.79,0.15,0.15,0.27,8.51
flan-t5-base,asset-test,asset-valid,3,p0,1,76.51,38.81,7.57,80.54,74.98,76.52,80.35,65.92,72.97,131.55,184.18,60.63,17.52,92.97,98.85,41.67,87.64,0.78,1.06,0.78,0.11,0.09,0.3,8.53
gpt-j-6b,asset-test,asset-valid,3,p0,1,68.05,39.08,7.61,76.99,75.51,75.04,77.56,67.43,72.4,107.38,143.91,59.31,17.26,91.2,98.82,38.64,84.23,0.87,1.15,0.78,0.09,0.16,0.28,8.48
opt-66b,asset-test,asset-valid,3,p0,1,71.65,39.32,7.64,79.18,77.56,77.26,79.8,70.12,74.85,107.37,181.01,61.54,16.11,91.45,98.91,39.06,84.91,0.86,1.12,0.8,0.1,0.14,0.26,8.49
bloom-3b,asset-test,asset-valid,3,p0,1,54.51,37.47,7.7,69.4,74.51,70.76,71.34,69.57,70.34,99.44,181.03,54.01,18.96,88.14,97.36,35.67,80.62,1.12,1.44,0.77,0.14,0.23,0.22,8.51
flan-ul2,asset-test,asset-valid,3,p0,1,88.15,38.8,7.77,88.14,85.89,85.95,88.67,78.92,83.69,116.25,162.97,66.0,12.76,92.16,99.07,40.83,86.53,0.85,1.1,0.86,0.2,0.06,0.2,8.53
bloom-560m,asset-test,asset-valid,3,p0,1,29.72,36.23,7.78,44.64,57.81,49.83,45.77,52.26,48.77,100.44,213.22,41.06,23.81,83.6,94.67,32.02,76.19,1.72,2.04,0.63,0.23,0.41,0.26,8.53
llama-65b,asset-test,asset-valid,3,p0,1,76.63,38.49,7.79,81.24,81.64,80.45,82.76,76.67,79.62,110.24,132.23,61.3,15.34,91.14,98.9,38.64,83.88,0.91,1.14,0.84,0.13,0.12,0.2,8.5
bloomz-560m,asset-test,asset-valid,3,p0,1,38.98,35.59,7.84,43.79,46.7,44.14,43.08,37.44,40.23,132.49,197.13,44.82,22.34,90.79,98.38,37.86,83.38,0.98,1.18,0.61,0.16,0.37,0.46,8.44
gpt-neox-20b,asset-test,asset-valid,3,p0,1,68.84,39.01,7.88,77.62,76.29,75.74,78.31,68.79,73.45,104.3,132.74,59.87,16.24,91.12,98.8,38.96,84.06,0.89,1.13,0.79,0.09,0.15,0.27,8.49
opt-13b,asset-test,asset-valid,3,p0,1,73.18,38.56,8.01,80.5,79.99,79.24,81.99,74.29,78.06,96.94,105.49,60.35,15.99,90.69,98.62,38.84,84.62,0.9,1.14,0.83,0.15,0.14,0.23,8.5
bloom-7b1,asset-test,asset-valid,3,p0,1,66.55,37.05,8.06,77.48,79.54,77.54,79.95,76.03,77.9,100.08,133.61,57.12,16.89,89.85,98.22,37.58,82.53,1.03,1.24,0.83,0.14,0.15,0.19,8.52
opt-30b,asset-test,asset-valid,3,p0,1,73.13,37.69,8.08,78.79,78.92,77.86,80.48,73.65,76.99,97.91,112.76,59.78,16.62,90.35,98.52,38.49,84.03,0.93,1.14,0.83,0.17,0.14,0.22,8.51
bloomz,asset-test,asset-valid,3,p0,1,78.01,37.85,8.19,82.92,83.32,82.25,85.47,80.56,82.98,107.12,148.49,61.21,14.4,90.8,98.94,38.88,84.33,0.93,1.14,0.86,0.17,0.11,0.17,8.52
bloomz-1b1,asset-test,asset-valid,3,p0,1,75.24,35.31,8.22,77.59,76.82,76.08,81.28,73.59,77.33,123.69,149.06,54.28,18.9,91.19,98.4,39.47,83.99,0.91,1.1,0.83,0.32,0.11,0.22,8.51
bloom-1b1,asset-test,asset-valid,3,p0,1,50.91,34.47,8.23,64.49,73.32,67.78,67.64,70.39,68.79,100.06,151.8,50.88,19.82,86.96,96.51,34.88,79.09,1.3,1.55,0.76,0.33,0.24,0.19,8.52
opt-iml-max-1.3b,asset-test,asset-valid,3,p0,1,83.66,33.43,8.26,82.93,80.43,80.63,87.41,77.07,82.1,121.48,157.33,61.04,14.93,92.32,99.0,40.51,85.15,0.87,1.06,0.86,0.43,0.06,0.2,8.53
t0pp,asset-test,asset-valid,3,p0,1,41.7,35.71,8.36,45.35,52.54,47.98,47.23,47.87,47.55,93.75,137.4,46.87,22.0,86.32,95.58,34.43,78.6,1.26,1.37,0.69,0.3,0.37,0.3,8.56
t0,asset-test,asset-valid,3,p0,1,51.25,36.5,8.55,53.61,58.4,54.99,54.64,52.69,53.59,148.75,392.66,50.97,19.58,90.88,97.48,38.44,84.16,1.12,1.24,0.7,0.2,0.28,0.31,8.57
flan-t5-xl,asset-test,asset-valid,3,p0,1,87.05,35.67,8.55,87.35,85.79,85.68,89.7,81.74,85.66,114.37,141.77,62.44,12.78,92.02,99.01,40.39,86.77,0.88,1.05,0.88,0.26,0.06,0.17,8.54
bloomz-7b1,asset-test,asset-valid,3,p0,1,72.38,37.59,8.6,79.81,80.58,79.24,82.73,77.22,79.93,105.33,135.56,59.3,14.92,91.5,98.96,38.88,84.07,0.93,1.07,0.84,0.18,0.13,0.2,8.51
bloomz-3b,asset-test,asset-valid,3,p0,1,72.97,36.2,8.64,76.29,76.4,75.31,79.21,72.75,75.92,106.41,122.36,57.09,16.22,92.0,99.1,39.42,84.64,0.91,1.04,0.82,0.27,0.13,0.23,8.5
flan-t5-small,asset-test,asset-valid,3,p0,1,83.02,34.87,8.66,84.69,83.41,83.13,88.77,81.46,85.05,116.01,128.24,56.97,16.78,91.81,98.83,40.08,86.38,0.89,1.05,0.9,0.28,0.06,0.16,8.53
