Model,Test,Few(n),n,Prompt,r,s,ex_selector,bleu,sari_add,sari_keep,sari_del,sari,fkgl,pbert_ref,rbert_ref,F1_bert_ref,pbert_src,rbert_src,F1_bert_src,ppl_mean,ppl_std,LENS,LENS_std,intra_dist1,intra_dist2,inter_dist1,inter_dist2,c_ratio,splits,lev_sim,copies,adds,deletes,lex_complexity
bloom,asset-test,asset-valid,3,p0,1,287,random,64.764,5.8309,57.3569,56.5752,39.921,7.3255,74.9693,75.9562,74.4433,74.6797,68.1958,71.3463,111.422,123.8786,59.3501,17.8055,90.6453,98.627,38.4646,83.4179,0.9449,1.2581,0.7633,0.0306,0.1781,0.2626,8.5189
bloom,asset-test,asset-valid,3,p0,1,489,random,66.9021,5.1738,56.5352,55.9875,39.2322,7.4424,75.9864,75.5615,74.7372,76.5609,68.6113,72.5053,114.4283,177.6661,59.7309,16.8033,91.142,98.8797,38.8278,83.8072,0.8988,1.1873,0.7745,0.0223,0.1669,0.2698,8.5357
bloom,asset-test,asset-valid,3,p0,1,723,random,69.3051,5.644,58.5886,54.9105,39.7144,7.5944,79.432,80.0946,78.5528,79.0474,72.2062,75.5506,116.3965,303.1411,60.7532,15.6367,90.8514,98.7406,39.3336,85.4641,0.9123,1.2017,0.7907,0.0223,0.1495,0.2381,8.4943
bloom,asset-test,asset-valid,3,p1,1,287,random,63.8644,4.8762,56.8286,55.1197,38.9415,6.7432,63.4005,70.5866,66.0483,64.409,65.0745,64.7054,133.502,133.7883,49.4455,16.7264,90.8294,98.9127,37.0558,79.1371,0.9507,1.2182,0.7856,0.0,0.2338,0.2742,8.5519
bloom,asset-test,asset-valid,3,p1,1,489,random,65.3101,4.9961,56.7962,55.8511,39.2145,6.6447,64.7089,71.4417,67.2747,65.4099,66.1522,65.7588,141.3841,166.31,49.3574,17.1378,91.7947,99.0348,37.8759,80.237,0.9128,1.2029,0.7928,0.0,0.2197,0.2828,8.583
bloom,asset-test,asset-valid,3,p1,1,723,random,65.1765,4.5092,57.6307,53.348,38.496,7.2233,65.0189,72.632,67.7947,66.1239,67.8942,66.9765,141.0181,143.3365,49.8122,15.586,91.2985,98.8096,37.9604,81.7837,0.9556,1.1822,0.7929,0.0,0.2121,0.2621,8.5434
bloom,asset-test,asset-valid,3,p2,1,287,random,59.5037,5.8864,58.1016,55.6011,39.863,7.6756,75.2662,77.3186,75.2048,75.5963,70.9435,73.2102,99.7653,111.4705,60.7158,15.8567,90.0676,98.462,35.2637,76.4691,1.0875,1.3877,0.7745,0.039,0.1894,0.2307,8.5489
bloom,asset-test,asset-valid,3,p2,1,489,random,62.3693,5.3552,58.0421,55.4269,39.6081,7.787,76.5676,77.5187,76.1358,77.2981,71.6431,74.4134,101.284,122.9266,60.5508,14.4527,90.6999,98.8723,36.1734,78.297,1.0028,1.2913,0.7877,0.0279,0.1786,0.2314,8.5302
bloom,asset-test,asset-valid,3,p2,1,723,random,66.4487,5.8796,59.4516,53.75,39.6938,7.865,78.5938,80.6755,78.5596,79.0884,74.4917,76.7425,99.424,130.6408,59.831,15.0734,90.2168,98.7733,37.9712,83.3709,0.9859,1.231,0.7998,0.0195,0.1681,0.2163,8.5311
bloom,med-easi-test,med-easi-validation,3,p0,1,287,random,9.156,2.9803,33.8327,74.0203,36.9444,5.3415,18.422,15.574,17.0095,28.5077,21.1691,24.807,86.9022,89.1851,42.1383,19.8196,87.0628,98.9837,22.2144,51.279,1.1661,1.478,0.5182,0.0133,0.505,0.5256,8.7834
bloom,med-easi-test,med-easi-validation,3,p0,1,489,random,9.6111,3.034,35.7321,75.5809,38.1157,5.6441,16.3256,13.6137,14.9622,25.8286,18.978,22.3428,83.3817,60.2504,41.2898,20.2378,87.2698,98.9018,22.1963,51.6628,1.1428,1.5333,0.5037,0.0033,0.5196,0.5324,8.7997
bloom,med-easi-test,med-easi-validation,3,p0,1,723,random,7.7156,2.8648,31.0051,75.8102,36.56,4.8804,15.3422,11.5598,13.45,24.3445,16.5435,20.3853,94.1762,195.5903,40.1069,20.329,87.0284,98.8043,20.4993,48.0924,1.1455,1.5509,0.4952,0.01,0.5286,0.5586,8.7636
bloom,med-easi-test,med-easi-validation,3,p1,1,287,random,9.2354,2.5804,34.8181,75.2745,37.5577,4.9649,13.7624,13.4348,13.6222,22.692,18.8778,20.7766,102.7834,227.2443,38.4038,17.2187,87.27,99.1568,21.2298,47.7933,1.1706,1.483,0.5138,0.0,0.5389,0.5382,8.7601
bloom,med-easi-test,med-easi-validation,3,p1,1,489,random,10.8349,2.7105,38.9688,75.4851,39.0548,5.0442,13.7534,14.1656,13.9846,23.0478,20.0492,21.5226,96.6626,99.1374,38.6209,18.8039,87.0194,99.0528,21.6068,50.1182,1.2028,1.5277,0.518,0.0,0.5394,0.5266,8.7428
bloom,med-easi-test,med-easi-validation,3,p1,1,723,random,7.7057,2.9759,29.0984,73.4977,35.1907,4.8445,11.7028,10.7693,11.2639,20.9919,16.3965,18.6907,93.4521,81.4141,35.8979,17.3177,86.6218,99.08,19.3174,45.6393,1.193,1.4839,0.5045,0.0,0.5626,0.5594,8.7401
bloom,med-easi-test,med-easi-validation,3,p2,1,287,random,5.3888,2.2725,38.2931,74.3023,38.2893,7.0938,10.585,17.6708,14.1068,20.9672,23.6572,22.3034,63.0981,100.2245,48.28,15.5498,81.8766,96.7837,10.7569,24.6695,2.9717,3.5063,0.4847,0.0133,0.6205,0.2875,9.1039
bloom,med-easi-test,med-easi-validation,3,p2,1,489,random,5.2136,2.2825,37.551,74.2131,38.0155,7.1905,9.1563,15.6602,12.3694,19.5014,22.0781,20.7503,56.2,62.2222,47.1813,15.8387,81.5206,96.4015,10.9506,24.9791,3.0513,3.7039,0.4791,0.01,0.6254,0.2775,9.1438
bloom,med-easi-test,med-easi-validation,3,p2,1,723,random,4.0738,2.1937,33.2288,75.1393,36.8539,7.0573,5.9807,12.842,9.3867,15.6449,18.313,16.9531,66.3234,196.65,47.0468,15.0163,81.2255,96.5203,9.9359,23.5499,3.1751,3.8257,0.4571,0.01,0.647,0.2918,9.1412
bloom,news-manual-all-test,news-manual-all-val,3,p0,1,287,random,41.7373,4.4632,53.5377,54.7816,37.5942,7.0096,61.5562,59.1877,59.8406,64.9078,59.2614,61.9978,84.2125,101.0261,60.5163,15.1222,90.9866,99.1385,30.7374,81.6932,0.9841,1.3048,0.6836,0.0195,0.2823,0.36,8.5873
bloom,news-manual-all-test,news-manual-all-val,3,p0,1,489,random,41.5011,4.2567,54.0708,53.6886,37.3387,6.7486,61.7945,58.1826,59.391,65.7078,58.3334,61.9252,77.7225,66.1166,61.5027,16.2764,90.3779,98.7589,30.6151,81.6077,1.0242,1.4196,0.6935,0.0273,0.2704,0.354,8.563
bloom,news-manual-all-test,news-manual-all-val,3,p0,1,723,random,44.0628,4.0534,54.1272,51.8999,36.6935,7.7657,63.793,60.3318,61.6675,68.3846,61.5046,64.8896,75.2447,60.8971,60.5926,14.5002,91.5354,99.1242,31.6393,82.1683,0.9269,1.172,0.7119,0.0195,0.2487,0.3406,8.5924
bloom,news-manual-all-test,news-manual-all-val,3,p1,1,287,random,42.2663,3.7802,54.0918,52.9711,36.9477,6.3748,53.7838,56.6027,54.7924,57.2527,57.2957,57.2004,97.8545,90.6104,50.5306,16.2881,90.4948,98.9975,30.5967,78.2898,1.0328,1.3607,0.6988,0.0,0.3089,0.3611,8.5798
bloom,news-manual-all-test,news-manual-all-val,3,p1,1,489,random,43.5252,3.3379,54.5961,54.1385,37.3575,6.2098,55.819,57.8283,56.3585,59.5534,58.2419,58.846,110.6691,115.6073,51.4584,16.1079,91.0628,99.0222,30.963,79.6185,0.9834,1.3044,0.7117,0.0,0.2729,0.3479,8.6114
bloom,news-manual-all-test,news-manual-all-val,3,p1,1,723,random,48.2391,3.7178,56.1708,48.4953,36.128,6.8759,57.7009,60.309,58.6016,61.9821,61.8143,61.8591,93.1085,73.8116,52.9781,15.8573,90.3834,99.1199,30.1393,77.4823,0.9937,1.2628,0.7316,0.0,0.2833,0.321,8.5048
bloom,news-manual-all-test,news-manual-all-val,3,p2,1,287,random,40.8051,4.3934,53.9982,53.1047,37.1654,7.4985,61.5206,59.9762,60.3257,65.6594,61.0175,63.2695,80.3736,93.4161,60.8308,14.1262,90.9203,98.9324,30.4576,81.4168,1.0616,1.3353,0.6926,0.0234,0.2887,0.3344,8.5859
bloom,news-manual-all-test,news-manual-all-val,3,p2,1,489,random,41.3309,4.3502,54.0312,54.4527,37.6114,7.2162,62.7761,59.4476,60.5853,66.5864,59.9883,63.2124,73.4494,70.7279,61.89,14.608,90.4176,98.718,30.4855,81.8003,0.9743,1.3293,0.7038,0.0352,0.2765,0.3481,8.5558
bloom,news-manual-all-test,news-manual-all-val,3,p2,1,723,random,43.5633,4.4627,56.0827,52.4585,37.668,7.7654,63.8861,62.2793,62.5875,68.7714,63.9185,66.316,72.4965,70.2844,60.2053,13.9515,90.3103,98.9484,30.4407,80.8098,0.9867,1.2391,0.7254,0.0117,0.2682,0.3047,8.5593
bloom-1b1,asset-test,asset-valid,3,p0,1,287,random,52.9477,2.1674,56.8389,44.7407,34.5823,8.2679,65.0784,73.5989,68.1948,68.2535,70.4281,69.1425,98.7582,125.1759,50.8617,20.0254,87.4106,96.768,35.5835,79.6453,1.2593,1.5063,0.7697,0.3593,0.2407,0.1937,8.518
bloom-1b1,asset-test,asset-valid,3,p0,1,489,random,50.0134,2.4554,56.2917,44.414,34.387,8.2675,64.7479,72.9726,67.8459,67.8477,70.0886,68.7652,94.3959,116.8533,52.3501,19.3199,87.3325,96.8358,34.4906,79.0193,1.294,1.5286,0.765,0.3315,0.2427,0.1869,8.5281
bloom-1b1,asset-test,asset-valid,3,p0,1,723,random,49.7692,2.423,56.6711,44.2543,34.4495,8.1614,63.6311,73.4031,67.2949,66.8178,70.6438,68.4669,107.0068,213.358,49.4176,20.116,86.1499,95.9123,34.5683,78.5894,1.3556,1.6056,0.7517,0.3148,0.2532,0.1921,8.5046
bloom-1b1,asset-test,asset-valid,3,p1,1,287,random,66.0583,1.8036,57.1542,44.4105,34.4561,7.8293,61.3446,69.5369,64.6835,63.924,67.4078,65.6453,137.8953,141.6126,45.2158,16.023,90.9567,98.8339,37.8556,80.8062,0.9997,1.1386,0.8253,0.0,0.2208,0.2329,8.537
bloom-1b1,asset-test,asset-valid,3,p1,1,489,random,67.1192,1.8838,56.5621,43.3119,33.9193,8.1214,61.937,70.4701,65.4083,64.9318,68.2028,66.5353,148.9419,190.8085,44.625,17.344,91.4444,98.7461,37.8861,80.5861,0.9757,1.0905,0.8319,0.0,0.2097,0.2352,8.5462
bloom-1b1,asset-test,asset-valid,3,p1,1,723,random,64.3405,1.926,56.7786,40.0028,32.9025,8.7711,62.8568,72.2857,66.8319,66.2209,70.9028,68.5152,142.8632,214.6028,45.9959,15.396,90.866,98.6895,36.4178,78.9878,1.0961,1.0559,0.8404,0.0,0.2097,0.1991,8.5441
bloom-1b1,asset-test,asset-valid,3,p2,1,287,random,46.2017,2.3291,57.7061,41.9624,33.9992,8.1097,63.9141,74.8758,68.1803,67.5143,72.6128,69.8049,87.9237,116.1107,51.8378,20.0051,85.682,95.6138,32.1984,72.9608,1.6002,1.8684,0.7654,0.39,0.2534,0.147,8.6048
bloom-1b1,asset-test,asset-valid,3,p2,1,489,random,49.2944,2.386,57.3106,41.7004,33.799,8.2213,66.0846,75.4148,69.6854,69.7434,73.0777,71.1509,91.3524,91.0737,51.7071,19.8364,86.4,96.0233,32.5218,74.2863,1.4381,1.6934,0.7762,0.3482,0.2332,0.1552,8.572
bloom-1b1,asset-test,asset-valid,3,p2,1,723,random,47.8241,2.5717,57.6161,43.1465,34.4448,8.1968,63.5428,74.9563,67.9449,67.3397,73.0412,69.9343,94.9471,132.8126,50.1474,19.3321,85.6641,95.652,33.6371,77.3036,1.4366,1.7291,0.7604,0.3287,0.2594,0.1611,8.5361
bloom-1b1,med-easi-test,med-easi-validation,3,p0,1,287,random,7.0983,1.9661,31.5405,74.1762,35.8943,6.7133,5.85,8.1682,6.9727,13.8957,13.3742,13.5252,86.9684,150.5351,33.6481,16.4937,84.2234,97.8845,21.9681,55.1978,1.6556,1.8833,0.4519,0.0633,0.5945,0.51,8.8485
bloom-1b1,med-easi-test,med-easi-validation,3,p0,1,489,random,5.7292,1.839,28.9785,75.9054,35.5743,6.8645,4.5834,6.0164,5.3005,12.5285,10.3704,11.4019,83.6732,149.0843,33.7007,17.2326,84.3034,98.6624,22.4113,56.6056,1.6553,1.8954,0.4466,0.0667,0.6202,0.5168,8.8144
bloom-1b1,med-easi-test,med-easi-validation,3,p0,1,723,random,4.06,2.0862,23.0652,74.1056,33.0857,6.8139,2.711,4.9935,3.8276,9.3466,8.975,9.0764,85.7131,195.4718,32.4638,16.5879,83.4553,97.7255,20.9009,55.2629,1.8397,2.0232,0.4299,0.05,0.6416,0.5172,8.8004
bloom-1b1,med-easi-test,med-easi-validation,3,p1,1,287,random,8.2491,1.7665,31.5256,73.3165,35.5362,6.085,7.7747,9.7942,8.808,17.9859,16.5289,17.2562,90.6591,60.5688,34.0141,15.188,86.5137,99.1092,22.1892,50.7529,1.3114,1.5502,0.5097,0.0,0.5626,0.5256,8.8141
bloom-1b1,med-easi-test,med-easi-validation,3,p1,1,489,random,10.234,1.6569,36.9623,74.0115,37.5436,6.1407,8.8422,10.1257,9.5026,18.6851,16.0948,17.3738,98.055,92.9075,34.0821,16.1434,86.6945,99.1655,22.5166,52.7731,1.3425,1.5534,0.5051,0.0,0.5613,0.5266,8.7565
