Model,Test,Prompt,sari,fkgl,F1_bert_ref,F1_bert_src,lev_sim,lex_complexity
llama-13b,asset-test,p0,40.71,6.97,75.89,71.53,0.77,8.5
opt-iml-max-30b,asset-test,p0,40.29,7.13,79.7,75.86,0.8,8.5
llama-7b,asset-test,p0,39.95,7.16,75.06,71.29,0.77,8.51
bloom,asset-test,p0,39.62,7.45,75.91,73.14,0.77,8.52
opt-66b,asset-test,p0,39.32,7.64,77.26,74.85,0.8,8.49
llama-30b,asset-test,p0,39.15,7.22,78.93,76.91,0.81,8.49
flan-t5-large,asset-test,p0,39.12,7.34,79.95,74.99,0.79,8.53
gpt-j-6b,asset-test,p0,39.08,7.61,75.04,72.4,0.78,8.48
gpt-neox-20b,asset-test,p0,39.01,7.88,75.74,73.45,0.79,8.49
flan-t5-base,asset-test,p0,38.81,7.57,76.52,72.97,0.78,8.53
flan-ul2,asset-test,p0,38.8,7.77,85.95,83.69,0.86,8.53
opt-13b,asset-test,p0,38.56,8.01,79.24,78.06,0.83,8.5
llama-65b,asset-test,p0,38.49,7.79,80.45,79.62,0.84,8.5
opt-6.7b,asset-test,p0,38.37,7.55,75.32,73.14,0.79,8.51
bloomz,asset-test,p0,37.85,8.19,82.25,82.98,0.86,8.52
opt-30b,asset-test,p0,37.69,8.08,77.86,76.99,0.83,8.51
bloomz-7b1,asset-test,p0,37.59,8.6,79.24,79.93,0.84,8.51
bloom-3b,asset-test,p0,37.47,7.7,70.76,70.34,0.77,8.51
bloom-7b1,asset-test,p0,37.05,8.06,77.54,77.9,0.83,8.52
t0,asset-test,p0,36.5,8.55,54.99,53.59,0.7,8.57
bloom-560m,asset-test,p0,36.23,7.78,49.83,48.77,0.63,8.53
bloomz-3b,asset-test,p0,36.2,8.64,75.31,75.92,0.82,8.5
t0pp,asset-test,p0,35.71,8.36,47.98,47.55,0.69,8.56
flan-t5-xl,asset-test,p0,35.67,8.55,85.68,85.66,0.88,8.54
flan-t5-xxl,asset-test,p0,35.59,8.72,86.52,86.96,0.89,8.53
bloomz-560m,asset-test,p0,35.59,7.84,44.14,40.23,0.61,8.44
bloomz-1b1,asset-test,p0,35.31,8.22,76.08,77.33,0.83,8.51
ul2,asset-test,p0,35.24,7.29,36.83,37.25,0.41,8.61
t0-3b,asset-test,p0,35.14,8.85,54.18,53.92,0.72,8.54
flan-t5-small,asset-test,p0,34.87,8.66,83.13,85.05,0.9,8.53
t5-base-lm-adapt,asset-test,p0,34.65,6.57,17.29,14.34,0.38,8.53
bloom-1b1,asset-test,p0,34.47,8.23,67.78,68.79,0.76,8.52
opt-iml-max-1.3b,asset-test,p0,33.43,8.26,80.63,82.1,0.86,8.53
t5-xxl-lm-adapt,asset-test,p0,33.39,6.99,48.21,49.0,0.52,8.6
t5-small-lm-adapt,asset-test,p0,33.3,6.37,8.86,4.54,0.37,8.51
opt-1.3b,asset-test,p0,33.08,8.73,75.66,78.16,0.84,8.52
t5-large-lm-adapt,asset-test,p0,31.36,6.8,41.42,42.58,0.48,8.55
t5-xl-lm-adapt,asset-test,p0,29.94,6.87,51.91,54.38,0.58,8.58
